@kassor_flowter,Last Epoch !
@BiloxTv31,Super interwieu ❤
@donyzi,Zerator étonné que l'Élysée fasse des streams alors que c'est lui l'égérie 😂💀
@MrKevindu06,Dead by daylight ❤
@joffrey00_off,Zera il parlait de qui ? Pour le fail des oscars cetait pas de niro nan ? Jai trouvé le fail pour Lalaland et Moonlight mais cest pas de ça quil parlait nan ?
@wTfLo75012,17:02 "Le retour de CS:GO" Mais ils sont réellement streamers de jeux vidéos pour dire ça ? C'est certainement l'un des jeux les plus joué et les plus suivi au monde, et ce, depuis plus de 10 ans.
@shinra9746,A quand les joueurs du grenier chez pop corn ? 🎉
@clementzarka3390,"SA ARRIVE FORT OE OE" j'aime se :D
@gordonmoilamain3541,Ça sent bon la censure et le retournement de vestes. A quand la redif des JO streamer .
@tomhd6099,1,2 milliards c'est plus proche que 970 millions non ?
@opticmadara,Comme l'impression que ça delete des coms qui parle d'un certain sujet if you know what i mean
@Kraasmi,Je ne connaissais pas l'émission Popcorn, ni Domingo. Franchement, J'ADORE ! J'ai regardé PAR HASARD l'émission sur Twitch du début à la fin, j'ai l'impression que l'émission avait durer 30 minutes tellement que j'ai trop aimer ! Je serais là à toutes les émissions ! :D Je me suis abonné à cette chaîne + celles de Domingo et aux 2 Insta. C'est incroyable ! Je vais me REMATTER ce STREAM GAME, même si j'l'ai déjà vu xD D'ailleurs j'ai presque vu TOUTES les vidéos sur les mini-jeux et débats sur cette chaîne... J'les ai mangés. (Pro Chômeur ICI...)PS : INCROYABLE ta prestation à DALSI !! Je n'étais pas là EN LIVE, je l'ai regardé en VOD, tu as géré frérot !! Prochain PRIME j'essaierais d'être là, EN LIVE.
@m.bourdelas,Cnest forcément la cgt ptdr, c'est autant honteux que l'arrivée du gouvernement sur twitch
@kartoons1965,MDR donc a 1:35 y'a vraiment la réponse a la question suivante et personne sur le plateau avait capter?!
@evomantis4132,6 comm / 4 bots XD
